Date	Size	Path	File name	Extension
2010-08-04	63065	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	magnetics_RTP_HG	gxf
2010-08-04	63065	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	magnetics_RTP_TA	gxf
2010-09-02	19574	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	3deuler	gxf
2010-08-04	63065	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	magnetics_RTP_TG	gxf
2010-07-26	63078	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	Bouguer_gravity	gxf
2010-07-26	63044	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	water_depth	gxf
2010-07-26	63068	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	magnetics_TMI	gxf
2010-08-23	63066	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Grids	magnetics_RTP_pass_below4000	gxf
2015-11-21	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation	Images	
2010-09-02	41542	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	3deuler_color	jpg
2010-11-11	1681025	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	Bouguer_gravity	jpg
2010-11-14	3827039	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	structural_interpretation	jpg
2010-09-02	1551868	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	3deuler	jpg
2010-08-24	50856	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	3deuler_symbols	png
2010-11-11	3144494	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	magnetics_RTP_HG	jpg
2010-08-02	30720	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	Thumbs	db
2010-11-11	40511	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	magnetics_TMI_color	jpg
2010-10-04	125344	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	Seagull_Shoal_1	png
2010-11-11	2148018	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	magnetics_RTP_DM4000	jpg
2010-10-04	121374	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	Seagull_Shoal_1_scatter	png
2010-11-11	36449	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	magnetics_RTP_DM4000_color	jpg
2010-08-02	458108	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/Images	Bouguer_gravity_1VD	jpg
2015-11-06	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO	Quantitative_Interpretation	
2015-11-06	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation	Seismic	
2010-11-25	44323344	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Seismic	Model Line 09SEYA-025 PSDM	sgy
2010-07-25	2539341	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Seismic	09SEYA-025 with interpretation	jpg
2010-07-25	2532095	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Seismic	09SEYA-025 clean	jpg
2015-11-06	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation	Magnetic_Depth_Estimates	
2010-12-16	2616	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Magnetic_Depth_Estimates	estimates	xyz
